prolific_id,consent,gender,age,qualification,english_prof,past_amr_experience_check,past_amr_experience,interaction_1_describe,interaction_1_communicating_intent_check,interaction_1_communicating_response,interaction_1_light_behaviour,interaction_2_describe,interaction_2_communicating_intent_check,interaction_2_communicating_response,interaction_2_light_behaviour,interaction_3_describe,interaction_3_communicating_intent_check,interaction_3_communicating_response,interaction_3_light_behaviour,interaction_4_describe,interaction_4_communicating_intent_check,interaction_4_communicating_response,interaction_4_light_behaviour,trust,general_trust,safe,general_safe,improved_perception,intent_communication_makes_user_comfortable,displayed_social_behaviours
5b34b0d41d2f710001fbbcd5,yes,Male,37,High school diploma or equivalent,Native or Bilingual Proficiency,2,I know what they are but don't recall ever using them,Uses a sensor as a safety feature,Strongly disagree,Incapable of thought,yes,"Uses a sensor as a safety feature, slowing down to avoid contact",Strongly disagree,Incapable of thought,no,Uses a sensor as a safety feature & continually reattempts to proceed,Strongly disagree,Incapable of thought,yes,Uses a sensor as a safety feature to continue its task safely,Strongly disagree,Incapable of thought,yes,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
5b4f76276d90520001127200,yes,Female,59,Master's degree or higher,Limited Working Proficiency,1,,when it encounters an obstacle it stops and turns back,Strongly agree,avoid obstacles or harm someone,indicates a change of direction and that he has perceived an obstacle,"senses someone moving and follows him, reducing its speed",Strongly agree,follow a direction indicated by a person,no,"senses an obstacle, slows down and goes back and forth without colliding with the obstacle, perhaps waiting for it to move",Strongly agree,its intent is not to collide with obstacles or cause harm to anyone,"yes, because they indicate that he has perceived an obstacle",perceives that the person's back is turned and changes direction by moving in front of the person,Strongly agree,"the intention is to be seen by the person, in order to avoid a clash",it is important because it communicates the change of direction,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5b55c6a2e173e60001963940,yes,Male,24,Master's degree or higher,Full Professional Proficiency,3,"I used both vacuum cleaners and self-driving autonomous systems for testing purposes as I work in the field of Computer Science, especially testing of machine learning software.","The mower goes towards a direction, then it detects an obstacle (i.e., the person) and then goes back, avoiding to hurt him.",Somewhat disagree,"I don't think the mower is communicating anything, rather than the fact that it detected something and tried to not hurt that.","Yes, as long as the light started blinking, I noticed that the robot faced an obstacle.",The mower starts moving more slowly when it runs into a person walking on its way.,Strongly disagree,I don't see any purpose/intention.,"No, and there is no reason to see any change in the light as the person is giving his back to the robot.","The mower tries to walk, but then goes back and forth as the obstacle (i.e., the person) does not walk away.",Somewhat agree,The robot wants the person to move and leave space for it.,Yes.,The robot detected an obstacle (the person) and circumvented it.,Strongly disagree,I do not see any purpose communicated by the robot.,No.,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
5b780f891c89e50001d6e8b1,yes,Male,44,High school diploma or equivalent,Limited Working Proficiency,4,"I have a vacuum cleaner and a mowing robot at home, they are very helpful and time-saving",the lawnmower let a man pass,Somewhat agree,he wanted to let the man pass,his behavior was valid and correct,the mower slowed down after detecting an obstacle,Somewhat agree,detects an obstacle and reacts correctly,she reacted correctly,"after detecting the obstacle, she didn't quite know what to do",Neither agree nor disagree,she didn't really know what she wanted to do,she didn't quite know what to do,At first she avoided the obstacle and then she didn't know what to do,Neither agree nor disagree,she didn't quite know what to do,she didn't quite know what to do,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
5b9cd912a1b0ab0001178936,yes,Female,40,Master's degree or higher,Full Professional Proficiency,4,personal use,it slows down and avoids the person,Strongly disagree,a robot doesn't have any purpose,no,it slows down to avoid to touch the person,Strongly disagree,I don't think the mower has any purpose,no,it goes back in order to avoid the person,Strongly disagree,I don't think the mower has any purpose,no,the mower changes its way in order to avoid the person. After it goes back.,Strongly disagree,a robot doesn't have any purpose,no,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
5ba15dc1dc44b600016df192,yes,Female,25,Master's degree or higher,Native or Bilingual Proficiency,3,"My mother owns an autonomous vacuum cleaner. I helped her set up and map the house, but I don't have much experience with using it day to day aside from the occasional visit.","When the mower detects an obstacle, it stops, reverses and changes direction.",Somewhat disagree,"I don't think it's communicating a purpose, but maybe waiting for the obstacle to no longer be detected.","Yes, the blinking light indicated recalibration","The mower slows down as it detects an obstacle ahead, but as the obstacle moves, it keeps moving as well",Somewhat disagree,"I don't think it's communicating any purpose, simply detecting motion and following along","No, there was no change in the light so there was no visual indication that it was ""thinking""","The mower stops when it detects an obstacle, reverses, and attemps to go the way it was going before it stopped, but faced with the obstacle once again repeats its behavior.",Somewhat agree,It seems as if the mower is trying to ask the obstacle to move.,"Yes, the blinking lights indicated the system trying to deal with the situation","When detecting an obstacle, the mower moves around it. Trying to go back to where the obstacle was and sensing it's still there, it starts reversing repeatedly.",Somewhat agree,"When it starts reversing and going forward until it senses the obstacle, it looks as if it's asking the obstacle to move.",Yes,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
5ba3be96258e340001cebb06,yes,Male,62,High school diploma or equivalent,Full Professional Proficiency,2,ONLY SEEN ONE IN ACTION. HAVE NEVER USED MYSELF,SEEMS TO AVOID RUNNING INTO THE HUMAN WELL,Strongly disagree,JUST USING SENSORS,YES IT HELPED,SLOWED DOWN WHEN IT SENSED A HUMAN,Strongly disagree,USING SENSERS TO DETECT OBSTICLES,HELPED A LITTLE,COULD NOT GO PAST THE HUMAN,Strongly disagree,WAS ATTEMPTING TO GO IN A STRAIGHT LINE,SEEMED TO BE DOING SOMETHING,BYPASSED THE HUMAN IN THE WAY,Strongly disagree,SENSED A HUMAN IN THE WAY SO MOVED AROUND HIM,YES MAYBE A CODE SIGNAL,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
5bd170999afb5b00015ba3b1,yes,Female,54,Master's degree or higher,Full Professional Proficiency,4,"I have a robot vacuum cleaner and an one auto mower, I really like using them, they are very practical and very useful.",It was very clever.,Neither agree nor disagree,He just encountered an obstacle and dodged around it.,It was correct and appropriate behavior.,"As it encountered an obstacle, it slowed down to avoid running over.",Somewhat agree,Which it a safe machine.,The robot transmits security to the owner.,The robot was always trying to move forward and backward to see if the obstacle would move out of the way.,Somewhat agree,It Demonstrates intelligence.,"Yes, it reinforces that it is an intelligent machine.",It circled the object in order to cut the grass all around it.,Somewhat agree,Which it is an efficient and precise machine.,Reinforcing that it is a machine that does its job well.,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
5bd6c7a7abc5ee00017a5928,yes,Male,51,Master's degree or higher,Native or Bilingual Proficiency,2,"I have seen a mobile vacuum cleaner at a friends house. It was quite interesting, however it didn't cope well with objects in its path.","The mower started to mow, and it sensed an obstruction so it reversed and changed angle remaining stationary .",Neither agree nor disagree,"No, the mower seems to be waiting for the obstruction to move, before deciding its next move.","The behaviour was important as a safety aspect, otherwise the mower may damage something, or injure a pet.","The mower was moving a fast speed, however when it came with in a certain distance of the individual it slowed down, maintaining its distance as the person moved forward.",Neither agree nor disagree,"The mower wanted to remain a safe distance from the person, and yet still was able to carry on mowing.","The behaviour is important, as the mower must slow down to maintain a safe distance.","The mower approached the person, and slowed down, then it oscillated by going near towards the person and the in reverse repeating the pattern.",Neither agree nor disagree,"The mower slowed down as it came close to the person, however by going backwards and forwards it was probably waiting for the person to move","The behaviour is important, as the mower is being safe, however it is still trying to continue with its work.","The mower swerved around the person, continued forward and then u-turned to approach the person, then going backwards and forwards. It would have mowed as much grass as possible without touching the person.",Neither agree nor disagree,"The mower is trying to mow as much of the grass as possible by going around the person, and back again.","The mowers behaviour is important as it it trying to mow as much grass as possible, without touching the person, maintaining safety.",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
5be3493a7e3c9b0001c4ccf2,yes,Male,29,High school diploma or equivalent,Full Professional Proficiency,3,"roomba, lawn mower, bimby",the mower stopped and steer away when detected an obstacle,Somewhat agree,"yes
the robot detected an obstacle and wanted to steer away from it",yes,the mower slowed down and followed the obstacle,Somewhat agree,he was following the human,yes,the mower went back and forth,Somewhat agree,i believe the robot was warning,the light was showing its presence,the mower contorned the obstacle,Somewhat agree,i believe the robot was seeing its surrounding,yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
5c1ed63210140800013f5ffb,yes,Male,47,Bachelor's degree,Full Professional Proficiency,3,"My Roomba is fun. you charge it, connect it to your home Wi-Fi, and then sync it with an app on your phone. The app is like a remote control center where you can give commands and set schedules","Once the mower detects a person directly in its path, it stops moving forward. It pauses for a moment, assessing the situation and steps back to allow passage",Strongly agree,The purpose was to allow passage,"The light behavior serves as a form of visual communication between the robot and the person nearby. For example, if the robot detects a person in its path and decides to step back, it indicates its intention.",The mower slowdown when detecting a human,Somewhat agree,"it minimizes the risk of accidents or collisions, providing a buffer of safety for both the person and the mower.",No,The mower is trying to move along a path but has it detects a human it backs up and tries again,Strongly agree,trying to move along a path,"Yes, it shows the direction","The mower tries to make its way, but when it detects a human, it changes its course, and moves around, alternating between backward and forward movements until it can continue.",Somewhat agree,Not clear,No,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
5c3e824ce0ea8200014651f9,yes,Female,32,Less than a high school diploma,Native or Bilingual Proficiency,2,I have used AMRs professionally for cleaning environments,the mower seems to notice the human presence and decides to let the person pass by standing aside.,Somewhat agree,the message seems to be that the human user has precedence over the robot.,"I think so, it indicates that the priority for the machine is the safety and protection of humans.","the mower notices the human presence and decides to slow down its advance, but does not stop or change direction.",Somewhat agree,"the robot seems to indicate that its task is important and cannot be interrupted, only slowed down.",I think it has little relevance,the mower realizes that it has an obstacle in front of it and stops its advance without actively attempting to overcome the obstacle.,Somewhat agree,the robot indicates that it is waiting for the obstacle to move from its forward path,the light seems very relevant and provides a clear indicator of urgency and attention grabbing.,"the mower initially actively avoids the obstacle in front of it, then decides to turn back and freezes in front of the obstacle, unable to avoid it again.",Somewhat disagree,the robot does not seem to have a precise task and its behavior is apparently illogical,it can have its relevance to indicate urgency and attention,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree
5c40b420c30a900001134f16,yes,Female,28,High school diploma or equivalent,Minimum Professional Proficiency,3,the only time i've experienced how they work was at my cousins house because he has a roomba.,"it stops when it encounters an obstacle, reverses and swerves to get out of the way",Neither agree nor disagree,it's intention is to move out of way,yes,it can follow something when it is moving,Neither agree nor disagree,the robot intention is to get it's job done,yes,it's moving back and forth,Neither agree nor disagree,i don't know whats the purpose of that,yes,runs a lap around the obstacle,Neither agree nor disagree,it runs a lap around the obstacle but i dont know why it's moving back and forth after,yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
5c460444c173f7000187ad06,yes,Male,21,No degree,Full Professional Proficiency,4,I have these types of robots at home and I live with them every day and interact with them several times a day.,It seems to stop working if it detects an object that resembles a human.,Somewhat agree,I think the mower is trying to avoid bumping into the human,"Yes, I think the behavior of the robot was important and completed the goal because you have to be careful with this robot so that it does not harm and injure people.",It slows down when it detects a human,Somewhat agree,I think the robot tries not to hurt the human and it does this by slowing down,"Yes, I think the behavior of the robot was important and completed the goal because thanks to this behavior the robot can be careful about humans",The robot recognizes a human and walks backwards and forwards,Somewhat agree,I think the robot is trying to pass but it can't because its way is blocked so it tries to signal to the human to move,Yes I think the robot's behavior was important because that way it could alert the environment it was trying to pass,"The mower detects a person, goes around him and then detects him again and goes back and forth",Somewhat agree,"I think the robot recognized a human, went around him but when he encountered him again he tried to signal him to move so he could finish the mission","Yes, I think it is important that the behavior of the robot was important because in order to be able to finish the task, the human had to move from the place and the robot signaled him so",Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree
5c59866b2e4cc90001d08a07,yes,Female,30,High school diploma or equivalent,Native or Bilingual Proficiency,3,I used to own a robot vacuum cleaner in the past.,"When facing an obstacle (human), the mower changed its position in order for the person to continue the walk.",Strongly disagree,"I don't ""read"" any communication of a purpose.","Yes, it blinked when moving, alerting about its movement.","When facing an obstacle (human), the mower adjusted its velocity.",Strongly disagree,"The light and behaviour of the mower didn't change, so I don't believe it was attempting to communicate a purpose.","No, because it didn't change.","When facing an obstacle (human), the mower stopped and started to move back and forth.",Somewhat agree,"By blinking and moving back and forth, the mower tried to communicate that it encountered an obstacle and couldn't move forward.","Yes, by blinking the mower reinforced its encounter with the obstacle.","When facing an obstacle (human), the mower bypassed it and started to move back and forth, facing the person.",Somewhat agree,"By repeating its movement and the blinking of the lights, the mower tried to communicate that it couldn't continue its course.","Yes, because it reinforced its impossibility to keep its course.",Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
5c6414540821d30001046198,yes,Female,37,Bachelor's degree,Full Professional Proficiency,2,"My brother has a Roomba, honestly I think that's all the experience I have with it","The mower came from the left side of the screen, a person was coming from the right side of the screen. It seemed to have detected someone (?) is in front of them, or maybe just an obstacle, it backed off, turned around and seemed to have parked itself and turn off.",Neither agree nor disagree,"I'm not sure it's communicating anything, or maybe, not sure how ""communication"" would be defined here, but it seemed to have an intention not to drive into the human","now that I rewatched it yes, it seemed intentional and like it was communicating that it's gonna back off, maybe park? and then it seemed to turn off by turning the white light off",the mower was moving in the same direction as the human and seemed to have slowed down once it realized there's a human ahead of it,Neither agree nor disagree,"it's not making a sound or blinking or anything, just slowing down, so i'm not sure if that counts as communication, maybe not really. doesn't feel like it's trying to communicate much, although it's trying to match its actions to the surroundings (in this case the human) and not interfere with it","in this video the light is constant and it seems that it means that the robot is active, so just in that way, yes, although it's not indicating in any way that it's slowing down or anything","the mower is moving towards the human, realize's the obstacle, backs off a bit but seems to try keep moving forward and just goes back and forth as if waiting for the human to move but also trying not to hit it",Somewhat agree,"it's blinking..maybe as if it wanted to communicate that it's trying to move forward but there's an obstacle, not sure what is it 'expecting'","yes it seems it's blinking when it's attempting a different action than just moving, maybe when it wants to park or when there's an obstacle? or when it changes directions","mower comes from behind the human, drives around it seemingly trying to avoid it, but then turns towards it and tries to get ahead while the human is in it's way, so it just keeps blinking and backing off, attempts to go further but backs off again when it senses an obstacle",Somewhat agree,seems it feels the need to maybe mow that specific spot but there's an obstacle in the way so he's trying to see if the obstacle moves away while he backs off and tries to go further again,"yeah seems it's trying to communicate hey i'm here i'm trying to pass please move away or something like that, or maybe just trying to communicate it sensed an obstacle and cannot get through a route which it initially planned to take",Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree
5c7d8138896a0b00011c2f5d,yes,Male,36,Bachelor's degree,Full Professional Proficiency,1,,Mower stopped in front of the man and then backed up and gave way to him.,Strongly agree,I think Mower want to show that I will do my job while trying not to disturb others.,Yes,"When Mower detected a man in front of him, he slowed down to avoid colliding with him.",Strongly agree,The robot tried not to collide with the human while performing its work.,Yes,"After detecting a human/obstacle, the robot started reversing and driving several times.",Neither agree nor disagree,maybe he got stuck and didn't know what to do...,I don't know,"after detecting an obstacle, the robot passed it and then reversed and drove up again",Neither agree nor disagree,"Avoiding obstacles yes. But later, when he reversed and drove up, I don't know.",I don't know.,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
5c80a72a979a7b0001f3c57b,yes,Female,37,Bachelor's degree,Native or Bilingual Proficiency,2,I only have a robo vacuum,the mower stopped and backed up when it sensed something in front of it's path,Somewhat disagree,the robot doesn't have an intention. It is just a robot. It was programmed to stop if something was in it's way.,a little. it tells about what state it is in,the mower almost seemed to be chasing the person but then it slowed down when the human did what it wanted and moved,Somewhat agree,it was trying to make the person move out of it's way,not really,the mower wants to continue moving forward but there is something in the way. it indicates it wants to move forward by the change in direction of lights and moving forward,Strongly agree,the mower is showing it wants to continue moving forward by changing the direction of it's lights and moving forward,yes,the mower sensed something in the way and tried to go around it. It keeps wants to go forward but recognizes it can't,Somewhat agree,it is obvious by the way the mower keeps moving forward then backing up then moving forward again that it wants the object in it's path to move,no,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree
5c8c59d99c57e70001a659a6,yes,Male,45,Less than a high school diploma,Minimum Professional Proficiency,4,"my washing machine,i's nice,quite simple,good,i'm happy with that.this is modern now,i like it.","mower was riding,parking and liighting",Somewhat disagree,"i don't no,what mower was doing,only ride,flash and stopped","maybe,but i'm  noot see  it,for me,was rather none understanding",mower was slowly rides behind the owner,Somewhat agree,she was waiting to the commend,"same off,this was waiting to the task","this was fun,she likes a dog waiting to throw a stick",Strongly agree,"she is definitievely waiting to the work and say,doing something for me.","yes,i'm sure of it",mower was searching some attension to yourself,Strongly agree,"i'm no this,she was waittng for something to do","yes,this was search own attention from  this man",Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
